state_id,year,cause,count
6741,2002,CHNAMurder_Cause_For_Political_reason,0
6741,2002,CHNAMurder_Cause_Class_Conflict,0
6741,2003,CHNAMurder_Cause_Class_Conflict,0
6741,2004,CHNAMurder_Cause_Class_Conflict,0
6741,2005,CHNAMurder_Cause_Class_Conflict,0
6741,2006,CHNAMurder_Cause_Class_Conflict,0
6741,2007,CHNAMurder_Cause_Class_Conflict,0
6741,2010,Murder_Cause_Communalism,2
6741,2001,CHNAMurder_Cause_Class_Conflict,1
6741,2009,Murder_Cause_Communalism,0
6741,2007,Murder_Cause_Communalism,1
6741,2006,Murder_Cause_Communalism,0
6741,2005,Murder_Cause_Communalism,0
6741,2004,Murder_Cause_Communalism,0
6741,2003,Murder_Cause_Communalism,5
6741,2002,Murder_Cause_Communalism,1
6741,2001,Murder_Cause_Communalism,1
6741,2008,Murder_Cause_Communalism,3
6741,2001,Murder_Cause_By_TerroristExtremist,120
6741,2002,Murder_Cause_By_TerroristExtremist,64
6741,2003,Murder_Cause_By_TerroristExtremist,114
6741,2005,Murder_Cause_Gain,184
6741,2004,Murder_Cause_Gain,129
6741,2003,Murder_Cause_Gain,138
6741,2002,Murder_Cause_Gain,102
6741,2001,Murder_Cause_Gain,122
6741,2001,Murder_Cause_Other_Causes_or_Motives,1348
6741,2002,Murder_Cause_Other_Causes_or_Motives,1355
6741,2003,Murder_Cause_Other_Causes_or_Motives,1171
6741,2004,Murder_Cause_Other_Causes_or_Motives,1168
6741,2005,Murder_Cause_Other_Causes_or_Motives,1322
6741,2010,Murder_Cause_By_TerroristExtremist,19
6741,2009,Murder_Cause_By_TerroristExtremist,14
6741,2008,Murder_Cause_By_TerroristExtremist,35
6741,2007,Murder_Cause_By_TerroristExtremist,37
6741,2006,Murder_Cause_By_TerroristExtremist,35
6741,2005,Murder_Cause_By_TerroristExtremist,125
6741,2004,Murder_Cause_By_TerroristExtremist,52
6741,2001,Murder_Cause_Witchcraft,20
6741,2006,Murder_Cause_Gain,227
6741,2002,Murder_Cause_Witchcraft,23
6741,2004,Murder_Cause_Witchcraft,24
6741,2008,Murder_Cause_Dowry,139
