state_id,Year,licences,count
6741,2002,Victims_of_Murder_by_Licensed_arms,3
6741,2005,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,174
6741,2003,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,59
6741,2004,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,129
6741,2002,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,153
6741,2008,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,8
6741,2010,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,6
6741,2007,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,6
6741,2001,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,40
6741,2006,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,21
6741,2009,Victims_of_Murder_by_Licensed_arms,0
6741,2001,Victims_of_Murder_by_Licensed_arms,18
6741,2005,Victims_of_Murder_by_Licensed_arms,13
6741,2003,Victims_of_Murder_by_Licensed_arms,8
6741,2004,Victims_of_Murder_by_Licensed_arms,8
6741,2006,Victims_of_Murder_by_Licensed_arms,0
6741,2008,Victims_of_Murder_by_Licensed_arms,3
6741,2009,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,8
6741,2010,Victims_of_Murder_by_Licensed_arms,2
6741,2007,Victims_of_Murder_by_Licensed_arms,1
2424,2006,Victims_of_Murder_by_Licensed_arms,4
2424,2008,Victims_of_Murder_by_Licensed_arms,2
2424,2004,Victims_of_Murder_by_Licensed_arms,3
2424,2009,Victims_of_Murder_by_Licensed_arms,4
2424,2002,Victims_of_Murder_by_Licensed_arms,4
2424,2005,Victims_of_Murder_by_Licensed_arms,5
2424,2003,Victims_of_Murder_by_Licensed_arms,5
2424,2001,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,4
2424,2003,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,2
2424,2001,Victims_of_Murder_by_Licensed_arms,5
2424,2007,Victims_of_Murder_by_Licensed_arms,7
2424,2005,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,1
2424,2007,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,0
2424,2010,Victims_of_Murder_by_Licensed_arms,0
2424,2002,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,1
2424,2006,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,0
2424,2009,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,0
2424,2004,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,1
2424,2008,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,3
2424,2010,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,0
8719,2002,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,138
8719,2001,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,236
8719,2005,Victims_of_Murder_by_Licensed_arms,1
8719,2006,Victims_of_Murder_by_Licensed_arms,4
8719,2009,Victims_of_Murder_by_Licensed_arms,5
8719,2003,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,58
8719,2007,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc,29
8719,2003,Victims_of_Murder_by_Licensed_arms,6
8719,2007,Victims_of_Murder_by_Licensed_arms,7
8719,2010,Victims_of_Murder_by_Licensed_arms,8
8719,2001,Victims_of_Murder_by_Licensed_arms,23
8719,2002,Victims_of_Murder_by_Licensed_arms,77
