state_id,state,year,victim_group,victim_age_group,count
6741,Andhra Pradesh,2001,Murder - Female Victims,Victims_Above_50_Yrs,67
6741,Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_15_18_Yrs,3
6741,Andhra Pradesh,2003,Murder - Female Victims,Victims_Upto_15_18_Yrs,12
6741,Andhra Pradesh,2004,Murder - Female Victims,Victims_Upto_15_18_Yrs,14
6741,Andhra Pradesh,2005,Murder - Female Victims,Victims_Upto_15_18_Yrs,7
6741,Andhra Pradesh,2006,Murder - Female Victims,Victims_Upto_15_18_Yrs,11
6741,Andhra Pradesh,2007,Murder - Female Victims,Victims_Upto_15_18_Yrs,10
6741,Andhra Pradesh,2008,Murder - Female Victims,Victims_Upto_15_18_Yrs,9
6741,Andhra Pradesh,2009,Murder - Female Victims,Victims_Upto_15_18_Yrs,7
6741,Andhra Pradesh,2010,Murder - Female Victims,Victims_Upto_15_18_Yrs,6
6741,Andhra Pradesh,2001,Murder - Male Victims,Victims_Upto_15_18_Yrs,88
6741,Andhra Pradesh,2002,Murder - Male Victims,Victims_Upto_15_18_Yrs,10
6741,Andhra Pradesh,2003,Murder - Male Victims,Victims_Upto_15_18_Yrs,43
6741,Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_15_18_Yrs,15
6741,Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_15_18_Yrs,21
6741,Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_15_18_Yrs,4
6741,Andhra Pradesh,2001,Murder - Female Victims,Victims_Upto_15_18_Yrs,43
6741,Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_15_18_Yrs,29
6741,Andhra Pradesh,2001,Murder - Female Victims,Victims_Upto_10_15_Yrs,15
6741,Andhra Pradesh,2003,Murder - Female Victims,Victims_Upto_10_15_Yrs,8
6741,Andhra Pradesh,2008,Murder - Male Victims,Victims_Upto_10_15_Yrs,14
6741,Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_10_15_Yrs,8
6741,Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_10_15_Yrs,11
6741,Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_10_15_Yrs,14
6741,Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_10_15_Yrs,15
6741,Andhra Pradesh,2003,Murder - Male Victims,Victims_Upto_10_15_Yrs,31
6741,Andhra Pradesh,2002,Murder - Male Victims,Victims_Upto_10_15_Yrs,3
6741,Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_18_30_Yrs,371
6741,Andhra Pradesh,2010,Murder - Female Victims,Victims_Upto_10_15_Yrs,12
6741,Andhra Pradesh,2009,Murder - Female Victims,Victims_Upto_10_15_Yrs,6
6741,Andhra Pradesh,2008,Murder - Female Victims,Victims_Upto_10_15_Yrs,7
6741,Andhra Pradesh,2007,Murder - Female Victims,Victims_Upto_10_15_Yrs,16
6741,Andhra Pradesh,2006,Murder - Female Victims,Victims_Upto_10_15_Yrs,9
6741,Andhra Pradesh,2005,Murder - Female Victims,Victims_Upto_10_15_Yrs,7
6741,Andhra Pradesh,2004,Murder - Female Victims,Victims_Upto_10_15_Yrs,10
6741,Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_10_15_Yrs,17
6741,Andhra Pradesh,2009,Murder - Male Victims,Victims_Upto_10_15_Yrs,12
6741,Andhra Pradesh,2008,Murder - Male Victims,Victims_Upto_15_18_Yrs,55
6741,Andhra Pradesh,2010,Murder - Male Victims,Victims_Upto_15_18_Yrs,13
6741,Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_18_30_Yrs,874
6741,Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_18_30_Yrs,1045
6741,Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_18_30_Yrs,953
6741,Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_18_30_Yrs,856
